sp,dutty
0.58,0.0
0.58,0.0
0.57,0.0
0.57,0.0
0.57,0.0
0.57,0.0
0.57,0.0
0.57,0.0
0.57,0.0
0.56,0.0
0.56,0.0
0.56,0.0
0.56,0.0
0.56,0.0
0.56,0.0
0.55,0.0
0.55,0.0
0.55,0.0
0.55,0.0
0.55,0.0
0.55,0.0
0.55,0.0
0.54,0.0
0.54,0.0
0.54,0.0
0.54,0.0
0.54,0.0
0.54,0.0
0.54,0.0
0.53,0.0
0.53,0.0
0.53,0.0
0.53,0.0
0.53,0.0
0.53,0.0
0.53,0.0
0.53,0.0
0.52,0.0
0.52,0.0
0.52,0.0
0.52,0.0
0.52,0.0
0.52,0.0
0.52,0.0
0.52,0.0
0.51,0.0
0.51,0.0
0.51,0.0
0.51,0.0
0.51,0.0
0.51,0.0
0.51,0.0
0.51,0.0
0.5,0.0
0.5,0.0
0.5,0.0
0.5,0.0
0.5,0.0
0.5,0.0
0.5,0.0
0.5,0.0
0.49,0.0
0.49,0.0
0.49,0.0
0.49,0.0
0.49,0.0
0.49,0.0
0.49,0.0
0.49,0.0
0.48,0.0
0.48,0.0
0.48,0.0
0.48,0.0
0.48,0.0
0.48,0.0
0.48,0.0
0.48,0.0
0.48,0.0
0.47,0.0
0.47,0.0
0.47,0.0
0.47,0.0
0.47,0.0
0.47,0.0
0.47,0.0
0.47,0.0
0.47,0.0
0.47,0.0
0.46,0.0
0.46,0.0
0.46,0.0
0.46,0.0
0.46,0.0
0.46,0.0
0.46,0.0
0.46,0.0
0.46,0.0
0.45,0.0
0.45,0.0
0.45,0.0
0.45,0.0
0.45,0.0
0.45,0.0
0.45,0.0
0.45,0.0
0.45,0.0
0.45,0.0
0.44,0.0
0.44,0.0
0.44,0.0
0.44,0.0
0.44,0.0
0.44,0.0
0.44,0.0
0.44,0.0
0.44,0.0
0.44,0.0
0.44,0.0
0.43,0.0
0.43,0.0
0.43,0.0
0.43,0.0
0.43,0.0
0.43,0.0
0.43,0.0
0.43,0.0
0.43,0.0
0.43,0.0
0.42,0.0
0.42,0.0
0.42,0.0
0.42,0.0
0.42,0.0
