Sample Number (60 samples per second),Pv (l/m),duty (l/m),loopTime (ms)
222,7.27,-255.0,90.0
223,7.33,-255.0,100.0
224,7.38,-255.0,90.0
225,7.3,-255.0,90.0
226,7.36,-255.0,100.0
227,7.41,-255.0,90.0
228,7.33,-255.0,83.0
229,7.38,-255.0,90.0
230,7.44,-255.0,83.0
231,7.36,-255.0,90.0
232,7.42,-255.0,83.0
233,7.48,-255.0,100.0
234,7.39,-255.0,83.0
235,7.45,-255.0,90.0
236,7.51,-255.0,100.0
237,7.43,-255.0,90.0
238,7.49,-255.0,90.0
239,7.54,-255.0,90.0
240,7.46,-255.0,90.0
241,7.52,-255.0,90.0
242,7.43,-255.0,90.0
243,7.5,-255.0,90.0
244,7.55,-255.0,90.0
245,7.47,-255.0,83.0
246,7.52,-255.0,100.0
247,7.57,-255.0,83.0
248,7.49,-255.0,90.0
249,7.55,-255.0,83.0
250,7.46,-255.0,100.0
251,7.52,-255.0,83.0
252,7.58,-255.0,90.0
253,7.49,-255.0,100.0
254,7.54,-255.0,90.0
255,7.46,-255.0,90.0
256,7.51,-255.0,100.0
257,7.43,-255.0,90.0
258,7.48,-255.0,90.0
259,7.55,-255.0,90.0
260,7.46,-255.0,83.0
261,7.52,-255.0,90.0
262,7.43,-255.0,83.0
263,7.49,-255.0,100.0
264,7.41,-255.0,83.0
265,7.46,-255.0,90.0
266,7.38,-255.0,100.0
267,7.42,-255.0,90.0
268,7.34,-255.0,90.0
269,7.4,-255.0,90.0
270,7.32,-255.0,90.0
271,7.37,-255.0,90.0
272,7.29,-255.0,90.0
273,7.35,-255.0,100.0
274,7.27,-255.0,90.0
275,7.33,-255.0,83.0
276,7.25,-255.0,100.0
277,7.3,-255.0,83.0
278,7.22,-255.0,90.0
279,7.13,-255.0,83.0
280,7.19,-255.0,90.0
281,7.11,-255.0,83.0
282,7.02,-255.0,90.0
283,7.09,-255.0,100.0
284,7.01,-255.0,90.0
285,6.93,-255.0,90.0
286,6.99,-255.0,100.0
287,6.91,-255.0,90.0
288,6.83,-255.0,90.0
289,6.91,-255.0,90.0
290,6.83,-255.0,90.0
291,6.75,-255.0,90.0
292,6.82,-255.0,83.0
293,6.74,-255.0,100.0
294,6.66,-255.0,83.0
295,6.73,-255.0,90.0
296,6.65,-255.0,90.0
297,6.57,-255.0,90.0
298,6.5,-255.0,90.0
299,6.57,-255.0,90.0
300,6.49,-255.0,100.0
301,6.41,-255.0,90.0
302,6.34,-255.0,90.0
303,6.41,-255.0,100.0
304,6.33,-255.0,90.0
305,6.26,-255.0,90.0
306,6.19,-255.0,100.0
307,6.25,-255.0,83.0
308,6.18,-255.0,90.0
309,6.11,-255.0,83.0
310,6.03,-255.0,90.0
311,6.12,-255.0,83.0
312,6.04,-255.0,90.0
313,5.97,-255.0,100.0
314,5.9,-255.0,90.0
315,5.83,-255.0,90.0
316,5.91,-255.0,100.0
317,5.84,-255.0,90.0
318,5.77,-255.0,90.0
319,5.7,-255.0,90.0
320,5.64,-255.0,90.0
321,5.57,-255.0,90.0
322,5.5,-255.0,83.0
323,5.59,-255.0,100.0
324,5.52,-255.0,83.0
325,5.45,-255.0,90.0
326,5.39,-255.0,90.0
327,5.33,-255.0,90.0
328,5.26,-255.0,83.0
329,5.2,-255.0,90.0
330,5.14,-255.0,100.0
331,5.08,-255.0,90.0
332,5.02,-255.0,90.0
333,4.96,-255.0,100.0
334,4.9,-255.0,90.0
335,4.85,-255.0,90.0
336,4.79,-255.0,100.0
337,4.87,-255.0,90.0
338,4.81,-255.0,90.0
339,4.75,-255.0,83.0
340,4.7,-255.0,90.0
341,4.64,-255.0,83.0
342,4.59,-255.0,90.0
343,4.54,-255.0,90.0
344,4.49,-255.0,90.0
345,4.43,-255.0,90.0
346,4.38,-255.0,100.0
347,4.33,-255.0,90.0
348,4.28,-255.0,90.0
349,4.24,-255.0,90.0
350,4.19,-255.0,100.0
351,4.14,-255.0,90.0
352,4.09,-255.0,83.0
353,4.05,-255.0,100.0
354,4.0,-255.0,83.0
355,3.96,-255.0,90.0
356,3.92,-255.0,90.0
357,3.87,-255.0,90.0
358,3.83,-255.0,83.0
359,3.79,-255.0,90.0
360,3.75,-255.0,100.0
361,3.7,-255.0,90.0
362,3.66,-255.0,90.0
363,3.62,-255.0,100.0
364,3.59,-255.0,90.0
365,3.55,-255.0,90.0
366,3.51,-255.0,100.0
367,3.47,-255.0,90.0
368,3.43,-255.0,90.0
369,3.4,-255.0,83.0
370,3.36,-255.0,90.0
371,3.33,-255.0,83.0
372,3.29,-255.0,90.0
373,3.26,-255.0,90.0
374,3.22,-255.0,90.0
375,3.19,-255.0,83.0
376,3.16,-255.0,100.0
377,3.13,-255.0,90.0
378,3.09,-255.0,90.0
379,3.06,-255.0,90.0
380,3.03,-255.0,100.0
381,3.0,-255.0,90.0
382,2.97,-255.0,90.0
383,2.94,-255.0,100.0
384,2.91,-255.0,83.0
385,2.88,-255.0,90.0
386,2.85,-255.0,90.0
387,2.83,-255.0,90.0
388,2.8,-255.0,83.0
389,2.77,-255.0,90.0
390,2.74,-255.0,90.0
391,2.72,-255.0,90.0
392,2.69,-255.0,90.0
393,2.66,-255.0,100.0
394,2.64,-255.0,90.0
395,2.61,-255.0,90.0
396,2.59,-255.0,100.0
397,2.56,-255.0,90.0
398,2.54,-255.0,90.0
399,2.52,-255.0,83.0
400,2.49,-255.0,100.0
401,2.47,-255.0,83.0
402,2.45,-255.0,90.0
403,2.42,-255.0,90.0
404,2.4,-255.0,90.0
405,2.38,-255.0,83.0
406,2.36,-255.0,100.0
407,2.34,-255.0,83.0
408,2.32,-255.0,90.0
409,2.3,-255.0,90.0
410,2.28,-255.0,100.0
411,2.25,-255.0,90.0
412,2.23,-255.0,90.0
413,2.22,-255.0,100.0
414,2.2,-255.0,90.0
415,2.18,-255.0,90.0
416,2.16,-255.0,90.0
417,2.14,-255.0,90.0
418,2.12,-255.0,83.0
419,2.1,-255.0,90.0
420,2.08,-255.0,90.0
