Sample Number (90 samples per second),fluxo (l/m),setPoint (l/m),duty (),Stability (),frequency ()
138,4.37,1.5,77.0,0.0,12.0
139,4.31,1.5,77.0,0.0,11.0
140,4.25,1.5,77.0,0.0,10.0
141,4.19,1.54,79.0,0.0,11.0
142,4.28,1.54,79.0,0.0,11.0
143,4.22,1.58,81.0,0.0,10.0
144,4.17,1.62,83.0,0.0,11.0
145,4.26,1.7,87.0,0.0,11.0
146,4.2,1.74,89.0,0.0,10.0
147,4.29,1.78,91.0,0.0,12.0
148,4.23,1.82,93.0,0.0,11.0
149,4.18,1.86,95.0,0.0,11.0
150,4.12,1.94,99.0,0.0,11.0
151,4.22,2.01,103.0,0.0,12.0
152,4.16,2.07,106.0,0.0,10.0
153,4.24,2.17,111.0,0.0,11.0
154,4.18,2.21,113.0,0.0,11.0
155,4.26,2.25,115.0,0.0,11.0
156,4.2,2.35,120.0,0.0,12.0
157,4.28,2.39,122.0,0.0,10.0
158,4.23,2.5,128.0,0.0,12.0
159,4.17,2.56,131.0,0.0,11.0
160,4.26,2.6,133.0,0.0,10.0
161,4.2,2.66,136.0,0.0,11.0
162,4.28,2.74,140.0,0.0,11.0
163,4.23,2.78,142.0,0.0,10.0
164,4.3,2.88,147.0,0.0,11.0
165,4.24,2.94,150.0,0.0,12.0
166,4.32,3.0,153.0,0.0,11.0
167,4.27,3.07,157.0,0.0,12.0
168,4.34,3.13,160.0,0.0,11.0
169,4.29,3.17,162.0,0.0,11.0
170,4.23,3.23,165.0,0.0,11.0
171,4.31,3.29,168.0,0.0,10.0
172,4.25,3.37,172.0,0.0,11.0
173,4.2,3.39,173.0,0.0,11.0
174,4.28,3.41,174.0,0.0,11.0
175,4.23,3.52,180.0,0.0,11.0
176,4.31,3.54,181.0,0.0,12.0
177,4.26,3.54,181.0,0.0,10.0
178,4.2,3.58,183.0,0.0,11.0
179,4.28,3.62,185.0,0.0,11.0
180,4.23,3.66,187.0,0.0,11.0
181,4.3,3.68,188.0,0.0,12.0
182,4.25,3.68,188.0,0.0,11.0
183,4.2,3.68,188.0,0.0,12.0
184,4.27,3.68,188.0,0.0,11.0
185,4.22,3.68,188.0,0.0,10.0
186,4.29,3.68,188.0,0.0,11.0
187,4.24,3.68,188.0,0.0,11.0
188,4.19,3.68,188.0,0.0,10.0
189,4.26,3.68,188.0,0.0,11.0
190,4.21,3.68,188.0,0.0,12.0
191,4.16,3.68,188.0,0.0,11.0
192,4.23,3.68,188.0,0.0,12.0
193,4.18,3.68,188.0,0.0,11.0
194,4.13,3.68,188.0,0.0,11.0
195,4.2,3.68,188.0,0.0,11.0
196,4.15,3.68,188.0,0.0,10.0
197,4.22,3.68,188.0,0.0,12.0
198,4.18,3.68,188.0,0.0,11.0
199,4.25,3.68,188.0,0.0,11.0
200,4.2,3.68,188.0,0.0,11.0
201,4.15,3.68,188.0,0.0,12.0
202,4.22,3.68,188.0,0.0,10.0
203,4.18,3.68,188.0,0.0,11.0
204,4.25,3.68,188.0,0.0,11.0
205,4.2,3.68,188.0,0.0,11.0
206,4.27,3.68,188.0,0.0,12.0
207,4.22,3.7,189.0,0.0,11.0
208,4.17,3.72,190.0,0.0,12.0
209,4.24,3.76,192.0,0.0,11.0
210,4.19,3.82,195.0,0.0,10.0
211,4.26,3.86,197.0,0.0,11.0
212,4.21,3.88,198.0,0.0,11.0
