Sample Number (60 samples per second),Pv (l/m),duty (l/m),loopTime (ms)
0,0.08,255.0,90.0
1,0.08,255.0,90.0
2,0.08,255.0,90.0
3,0.08,255.0,90.0
4,0.08,255.0,83.0
5,0.08,255.0,90.0
6,0.08,255.0,100.0
7,0.08,255.0,90.0
8,0.08,255.0,90.0
9,0.08,255.0,100.0
10,0.08,255.0,90.0
11,0.08,255.0,83.0
12,0.08,255.0,90.0
13,0.08,255.0,90.0
14,0.08,255.0,90.0
15,0.08,255.0,90.0
16,0.08,255.0,100.0
17,0.08,255.0,90.0
18,0.08,255.0,90.0
19,0.08,255.0,90.0
20,0.08,255.0,90.0
21,0.08,255.0,90.0
22,0.08,255.0,83.0
23,0.08,255.0,100.0
24,0.08,255.0,90.0
25,0.08,255.0,90.0
26,0.08,255.0,90.0
27,0.08,255.0,100.0
28,0.08,255.0,90.0
29,0.08,255.0,83.0
30,0.08,255.0,100.0
31,0.08,255.0,83.0
32,0.08,255.0,90.0
33,0.08,255.0,90.0
34,0.08,255.0,100.0
35,0.08,255.0,90.0
36,0.08,255.0,90.0
37,0.08,255.0,100.0
38,0.08,255.0,83.0
39,0.08,255.0,90.0
40,0.08,255.0,83.0
41,0.08,255.0,100.0
42,0.08,255.0,90.0
43,0.08,255.0,90.0
44,0.08,255.0,100.0
45,0.08,255.0,90.0
46,0.08,255.0,90.0
47,0.08,255.0,83.0
48,0.08,255.0,100.0
49,0.08,255.0,83.0
50,0.08,255.0,90.0
51,0.08,255.0,100.0
52,0.08,255.0,90.0
53,0.08,255.0,90.0
54,0.08,255.0,90.0
55,0.08,255.0,100.0
56,0.08,255.0,83.0
57,0.08,255.0,90.0
58,0.08,255.0,90.0
59,0.08,255.0,90.0
60,0.08,255.0,90.0
61,0.08,255.0,90.0
62,0.08,255.0,100.0
63,0.08,255.0,90.0
64,0.08,255.0,90.0
65,0.08,255.0,83.0
66,0.08,255.0,90.0
67,0.08,255.0,83.0
68,0.08,255.0,90.0
69,0.08,255.0,100.0
70,0.08,255.0,90.0
71,0.08,255.0,90.0
72,0.08,255.0,90.0
73,0.08,255.0,90.0
74,0.08,255.0,83.0
75,0.08,255.0,90.0
76,0.08,255.0,90.0
77,0.08,255.0,90.0
78,0.08,255.0,90.0
79,0.08,255.0,90.0
80,0.08,255.0,100.0
81,0.08,255.0,90.0
82,0.08,255.0,90.0
83,0.08,255.0,90.0
84,0.08,255.0,90.0
85,0.08,255.0,83.0
86,0.08,255.0,90.0
87,0.08,255.0,100.0
88,0.08,255.0,90.0
89,0.08,255.0,90.0
90,0.08,255.0,90.0
91,0.08,255.0,90.0
92,0.08,255.0,83.0
93,0.08,255.0,90.0
94,0.08,255.0,100.0
95,0.08,255.0,90.0
96,0.08,255.0,90.0
97,0.08,255.0,100.0
98,0.08,255.0,90.0
99,0.08,255.0,83.0
100,0.08,255.0,90.0
101,0.08,255.0,90.0
102,0.08,255.0,90.0
103,0.08,255.0,90.0
104,0.08,255.0,100.0
105,0.08,255.0,90.0
106,0.08,255.0,90.0
107,0.08,255.0,90.0
108,0.08,255.0,90.0
109,0.08,255.0,90.0
110,0.08,255.0,83.0
111,0.08,255.0,100.0
112,0.08,255.0,83.0
113,0.08,255.0,90.0
114,0.08,255.0,90.0
115,0.08,255.0,100.0
116,0.08,255.0,90.0
117,0.08,255.0,83.0
118,0.08,255.0,100.0
119,0.08,255.0,83.0
120,0.08,255.0,90.0
121,0.08,255.0,90.0
122,0.08,255.0,100.0
123,0.08,255.0,90.0
124,0.08,255.0,90.0
125,0.08,255.0,100.0
126,0.08,255.0,83.0
127,0.08,255.0,90.0
128,0.08,255.0,83.0
129,0.08,255.0,100.0
130,0.08,255.0,83.0
131,0.08,-255.0,90.0
132,0.08,-255.0,100.0
133,0.08,-255.0,90.0
134,0.08,-255.0,90.0
135,0.08,-255.0,90.0
136,0.08,-255.0,100.0
137,0.08,-255.0,90.0
138,0.08,-255.0,90.0
139,0.07,-255.0,90.0
140,0.07,-255.0,90.0
141,0.07,-255.0,83.0
142,0.07,-255.0,100.0
143,0.07,-255.0,83.0
144,0.07,-255.0,90.0
145,0.07,-255.0,83.0
146,0.07,-255.0,100.0
147,0.07,-255.0,90.0
148,0.07,-255.0,90.0
149,0.07,-255.0,100.0
150,0.07,-255.0,90.0
151,0.07,-255.0,90.0
152,0.07,-255.0,100.0
153,0.07,-255.0,90.0
154,0.07,-255.0,83.0
155,0.07,-255.0,90.0
156,0.07,-255.0,83.0
157,0.07,-255.0,90.0
158,0.07,-255.0,83.0
159,0.07,-255.0,100.0
160,0.07,-255.0,83.0
161,0.07,-255.0,90.0
162,0.07,-255.0,100.0
163,0.07,-255.0,90.0
164,0.07,-255.0,90.0
165,0.07,-255.0,90.0
166,0.07,-255.0,90.0
167,0.07,-255.0,90.0
168,0.07,-255.0,90.0
169,0.07,-255.0,90.0
170,0.07,-255.0,90.0
171,0.07,-255.0,83.0
172,0.07,-255.0,100.0
173,0.07,-255.0,83.0
174,0.07,-255.0,90.0
175,0.07,-255.0,83.0
176,0.07,-255.0,100.0
177,0.07,-255.0,83.0
178,0.07,-255.0,90.0
179,0.07,-255.0,100.0
180,0.07,-255.0,90.0
181,0.07,-255.0,90.0
182,0.07,-255.0,100.0
183,0.07,-255.0,90.0
184,0.07,-255.0,90.0
185,0.07,-255.0,90.0
186,0.07,-255.0,83.0
187,0.07,-255.0,90.0
188,0.07,-255.0,83.0
189,0.07,-255.0,100.0
190,0.07,-255.0,83.0
191,0.07,-255.0,90.0
192,0.07,-255.0,100.0
193,0.07,-255.0,90.0
194,0.07,-255.0,90.0
195,0.07,-255.0,90.0
196,0.07,-255.0,90.0
197,0.07,-255.0,90.0
198,0.07,-255.0,90.0
199,0.07,-255.0,100.0
200,0.07,-255.0,90.0
201,0.07,-255.0,83.0
202,0.07,-255.0,100.0
203,0.07,-255.0,83.0
204,0.07,-255.0,90.0
205,0.07,-255.0,83.0
206,0.07,-255.0,90.0
207,0.07,-255.0,83.0
208,0.07,-255.0,90.0
209,0.07,-255.0,100.0
210,0.07,-255.0,90.0
211,0.07,-255.0,90.0
212,0.07,-255.0,100.0
213,0.07,-255.0,90.0
214,0.07,-255.0,90.0
215,0.07,-255.0,90.0
216,0.07,-255.0,90.0
217,0.07,-255.0,90.0
218,0.07,-255.0,83.0
219,0.07,-255.0,100.0
220,0.07,-255.0,83.0
221,0.07,-255.0,90.0
222,0.07,-255.0,90.0
223,0.07,-255.0,90.0
224,0.07,-255.0,90.0
225,0.07,-255.0,90.0
226,0.07,-255.0,100.0
227,0.07,-255.0,90.0
228,0.07,-255.0,90.0
229,0.07,-255.0,100.0
230,0.07,-255.0,90.0
231,0.07,-255.0,90.0
232,0.07,-255.0,100.0
233,0.07,-255.0,83.0
234,0.07,-255.0,90.0
235,0.07,-255.0,83.0
236,0.07,-255.0,90.0
237,0.07,-255.0,83.0
238,0.07,-255.0,90.0
239,0.07,-255.0,100.0
240,0.07,-255.0,90.0
241,0.07,-255.0,90.0
242,0.07,-255.0,100.0
243,0.07,-255.0,90.0
244,0.07,-255.0,90.0
245,0.07,-255.0,90.0
246,0.07,-255.0,90.0
247,0.07,-255.0,90.0
248,0.07,-255.0,83.0
249,0.07,-255.0,100.0
250,0.07,-255.0,83.0
251,0.07,-255.0,90.0
252,0.07,-255.0,90.0
253,0.07,-255.0,90.0
254,0.07,-255.0,83.0
255,0.07,-255.0,90.0
256,0.07,-255.0,100.0
257,0.07,-255.0,90.0
258,0.07,-255.0,90.0
259,0.07,-255.0,100.0
260,0.07,-255.0,90.0
261,0.07,-255.0,90.0
262,0.07,-255.0,100.0
263,0.07,-255.0,90.0
264,0.07,-255.0,90.0
265,0.07,-255.0,83.0
266,0.07,-255.0,90.0
267,0.07,-255.0,83.0
268,0.07,-255.0,90.0
269,0.07,-255.0,90.0
270,0.07,-255.0,90.0
271,0.07,-255.0,90.0
272,0.07,-255.0,100.0
273,0.07,-255.0,90.0
274,0.07,-255.0,90.0
275,0.07,-255.0,90.0
276,0.07,-255.0,100.0
277,0.07,-255.0,90.0
278,0.07,-255.0,83.0
279,0.07,-255.0,100.0
280,0.07,-255.0,83.0
281,0.07,-255.0,90.0
282,0.07,-255.0,90.0
283,0.07,-255.0,90.0
284,0.07,-255.0,83.0
285,0.07,-255.0,90.0
286,0.07,-255.0,100.0
287,0.07,-255.0,90.0
288,0.07,-255.0,90.0
289,0.07,-255.0,100.0
290,0.07,-255.0,90.0
291,0.07,-255.0,90.0
292,0.07,-255.0,100.0
293,0.07,-255.0,90.0
294,0.07,-255.0,90.0
295,0.07,-255.0,83.0
296,0.07,-255.0,90.0
297,0.07,-255.0,83.0
298,0.07,-255.0,90.0
299,0.07,-255.0,90.0
300,0.07,-255.0,90.0
301,0.07,-255.0,83.0
302,0.07,-255.0,100.0
303,0.07,-255.0,90.0
304,0.07,-255.0,90.0
305,0.07,-255.0,90.0
306,0.07,-255.0,100.0
307,0.07,-255.0,90.0
308,0.07,-255.0,90.0
309,0.07,-255.0,100.0
310,0.07,-255.0,83.0
311,0.07,-255.0,90.0
312,0.07,-255.0,90.0
313,0.07,-255.0,90.0
314,0.07,-255.0,83.0
315,0.07,-255.0,90.0
316,0.07,-255.0,90.0
317,0.07,-255.0,90.0
318,0.07,-255.0,90.0
319,0.07,-255.0,100.0
320,0.06,-255.0,90.0
321,0.06,-255.0,90.0
322,0.06,-255.0,100.0
323,0.06,-255.0,90.0
324,0.06,-255.0,90.0
