Sample Number (90 samples per second),fluxo (l/m),setPoint (l/m),duty (),Stability (),frequency ()
0,14.81,-1.0,1.0,0.0,12.0
1,14.78,-1.0,1.0,0.0,11.0
2,14.76,-1.0,1.0,0.0,12.0
3,14.73,-1.0,1.0,0.0,11.0
4,14.82,-1.0,1.0,0.0,12.0
5,14.72,-1.0,1.0,0.0,11.0
6,14.81,-1.0,1.0,0.0,12.0
7,14.78,-1.0,1.0,0.0,11.0
8,14.76,-1.0,1.0,0.0,12.0
9,14.73,-1.0,1.0,0.0,11.0
10,14.82,-1.0,1.0,0.0,12.0
11,10.0,-1.0,1.0,0.0,11.0
12,6.92,-1.0,1.0,0.0,11.0
13,10.48,-1.0,1.0,0.0,11.0
14,12.63,-1.0,1.0,0.0,12.0
15,10.41,-1.0,1.0,0.0,11.0
16,11.99,-1.0,1.0,0.0,11.0
17,13.17,-1.0,1.0,0.0,11.0
18,13.72,-1.0,1.0,0.0,11.0
19,13.59,-1.0,1.0,0.0,10.0
20,13.36,-1.0,1.0,0.0,11.0
21,13.28,-1.0,1.0,0.0,11.0
22,14.25,-1.0,1.0,0.0,10.0
23,14.02,-1.0,1.0,0.0,11.0
24,13.91,-1.0,1.0,0.0,12.0
25,13.76,-1.0,1.0,0.0,11.0
26,13.68,-1.0,1.0,0.0,12.0
27,13.53,-1.0,1.0,0.0,11.0
28,14.19,-1.0,1.0,0.0,12.0
29,14.05,-1.0,1.0,0.0,10.0
30,13.93,-1.0,1.0,0.0,12.0
31,13.82,-1.0,1.0,0.0,11.0
32,13.76,-1.0,1.0,0.0,11.0
33,13.64,-1.0,1.0,0.0,11.0
34,14.14,-1.0,1.0,0.0,12.0
35,14.04,-1.0,1.0,0.0,10.0
36,13.95,-1.0,1.0,0.0,12.0
37,14.33,-1.0,1.0,0.0,11.0
38,14.26,-1.0,1.0,0.0,11.0
39,14.14,-1.0,1.0,0.0,11.0
40,14.08,-1.0,1.0,0.0,12.0
41,14.42,-1.0,1.0,0.0,11.0
42,14.35,-1.0,1.0,0.0,11.0
43,14.25,-1.0,1.0,0.0,11.0
44,14.19,-1.0,1.0,0.0,11.0
45,14.49,-1.0,1.0,0.0,10.0
46,14.4,-1.0,1.0,0.0,11.0
47,14.32,-1.0,1.0,0.0,11.0
48,14.26,-1.0,1.0,0.0,10.0
49,14.5,-1.0,1.0,0.0,11.0
50,14.45,-1.0,1.0,0.0,11.0
51,14.37,-1.0,1.0,0.0,10.0
52,14.3,-1.0,1.0,0.0,11.0
53,14.23,-1.0,1.0,0.0,11.0
54,14.51,-1.0,1.0,0.0,10.0
55,14.43,-1.0,1.0,0.0,11.0
56,14.38,-1.0,1.0,0.0,11.0
57,14.31,-1.0,1.0,0.0,11.0
58,14.27,-1.0,1.0,0.0,11.0
59,14.47,-1.0,1.0,0.0,11.0
60,14.42,-1.0,1.0,0.0,11.0
61,14.37,-1.0,1.0,0.0,11.0
62,14.3,-1.0,1.0,0.0,11.0
63,14.26,-1.0,1.0,0.0,12.0
64,14.47,-1.0,1.0,0.0,10.0
65,14.41,-1.0,1.0,0.0,12.0
66,14.35,-1.0,1.0,0.0,11.0
67,14.31,-1.0,1.0,0.0,11.0
68,14.24,-1.0,1.0,0.0,11.0
69,14.47,-1.0,1.0,0.0,12.0
70,14.41,-1.0,1.0,0.0,10.0
71,14.36,-1.0,1.0,0.0,12.0
72,14.3,-1.0,1.0,0.0,11.0
73,14.52,-1.0,1.0,0.0,12.0
74,14.46,-1.0,1.0,0.0,11.0
75,14.41,-1.0,1.0,0.0,12.0
76,14.36,-1.0,1.0,0.0,11.0
77,14.56,-1.0,1.0,0.0,11.0
78,14.5,-1.0,1.0,0.0,11.0
79,14.46,-1.0,1.0,0.0,12.0
80,14.41,-1.0,1.0,0.0,10.0
81,14.36,-1.0,1.0,0.0,12.0
82,14.53,-1.0,1.0,0.0,11.0
83,14.49,-1.0,1.0,0.0,10.0
84,14.43,-1.0,1.0,0.0,11.0
85,14.4,-1.0,1.0,0.0,11.0
86,14.56,-1.0,1.0,0.0,10.0
87,14.51,-1.0,1.0,0.0,11.0
88,14.46,-1.0,1.0,0.0,11.0
89,14.64,-1.0,1.0,0.0,11.0
90,14.59,-1.0,1.0,0.0,11.0
91,14.54,-1.0,1.0,0.0,11.0
92,14.49,-1.0,1.0,0.0,11.0
93,14.67,-1.0,1.0,0.0,10.0
94,14.61,-1.0,1.0,0.0,11.0
95,14.58,-1.0,1.0,0.0,11.0
96,14.53,-1.0,1.0,0.0,10.0
97,14.67,-1.0,1.0,0.0,11.0
98,14.63,-1.0,1.0,0.0,11.0
99,14.59,-1.0,1.0,0.0,10.0
100,14.54,-1.0,1.0,0.0,11.0
101,14.51,-1.0,1.0,0.0,11.0
102,14.67,-1.0,1.0,0.0,10.0
103,14.62,-1.0,1.0,0.0,11.0
104,14.59,-1.0,1.0,0.0,12.0
105,14.54,-1.0,1.0,0.0,11.0
106,14.51,-1.0,1.0,0.0,12.0
107,14.46,-1.0,1.0,0.0,11.0
108,14.62,-1.0,1.0,0.0,12.0
109,14.58,-1.0,1.0,0.0,10.0
110,14.53,-1.0,1.0,0.0,12.0
111,14.49,-1.0,1.0,0.0,11.0
112,14.47,-1.0,1.0,0.0,11.0
113,14.58,-1.0,1.0,0.0,11.0
114,14.55,-1.0,1.0,0.0,12.0
115,14.51,-1.0,1.0,0.0,10.0
116,14.64,-1.0,1.0,0.0,12.0
117,14.6,-1.0,1.0,0.0,11.0
118,14.57,-1.0,1.0,0.0,11.0
119,14.52,-1.0,1.0,0.0,11.0
120,14.66,-1.0,1.0,0.0,12.0
121,14.62,-1.0,1.0,0.0,11.0
122,14.6,-1.0,1.0,0.0,11.0
123,14.55,-1.0,1.0,0.0,11.0
124,14.52,-1.0,1.0,0.0,11.0
125,14.64,-1.0,1.0,0.0,10.0
126,14.6,-1.0,1.0,0.0,11.0
127,14.57,-1.0,1.0,0.0,11.0
